Data;Taxa de câmbio - R$ / US$ - comercial - venda - média - R$ - Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERV12;
1961.08;9,84509090909091E-14;
1961.09;1,0668E-13;
1961.10;1,10487272727273E-13;
1961.11;1,11636363636364E-13;
1961.12;1,11636363636364E-13;
1962.01;1,15636363636364E-13;
1962.02;1,15636363636364E-13;
1962.03;1,15636363636364E-13;
1962.04;1,15636363636364E-13;
1962.05;1,21454545454545E-13;
1962.06;1,30545454545455E-13;
1962.07;1,33454545454545E-13;
1962.08;1,42545454545455E-13;
1962.09;1,68363636363636E-13;
1962.10;1,72727272727273E-13;
1962.11;1,72727272727273E-13;
1962.12;1,72727272727273E-13;
1963.01;1,72727272727273E-13;
1963.02;1,72727272727273E-13;
1963.03;1,72727272727273E-13;
1963.04;1,87636363636364E-13;
1963.05;2,25454545454545E-13;
1963.06;2,25454545454545E-13;
1963.07;2,25454545454545E-13;
1963.08;2,25454545454545E-13;
1963.09;2,25454545454545E-13;
1963.10;2,25454545454545E-13;
1963.11;2,25454545454545E-13;
1963.12;2,25454545454545E-13;
1964.01;2,25454545454545E-13;
1964.02;4,28727272727273E-13;
1964.03;4,28727272727273E-13;
1964.04;4,36363636363636E-13;
1964.05;4,36363636363636E-13;
1964.06;4,36363636363636E-13;
1964.07;4,36363636363636E-13;
1964.08;4,48727272727273E-13;
1964.09;5,77818181818182E-13;
1964.10;5,85454545454545E-13;
1964.11;5,85454545454545E-13;
1964.12;6,02181818181818E-13;
1965.01;6,72727272727273E-13;
1965.02;6,72727272727273E-13;
1965.03;6,72727272727273E-13;
1965.04;6,72727272727273E-13;
1965.05;6,72727272727273E-13;
1965.06;6,72727272727273E-13;
1965.07;6,72727272727273E-13;
1965.08;6,72727272727273E-13;
1965.09;6,72727272727273E-13;
1965.10;6,72727272727273E-13;
1965.11;7,50545454545454E-13;
1965.12;8,07272727272727E-13;
1966.01;8,07272727272727E-13;
1966.02;8,07272727272727E-13;
1966.03;8,07272727272727E-13;
1966.04;8,07272727272727E-13;
1966.05;8,07272727272727E-13;
1966.06;8,07272727272727E-13;
1966.07;8,07272727272727E-13;
1966.08;8,07272727272727E-13;
1966.09;8,07272727272727E-13;
1966.10;8,07272727272727E-13;
1966.11;8,07272727272727E-13;
1966.12;8,07272727272727E-13;
1967.01;8,07272727272727E-13;
1967.02;9,87272727272727E-13;
1967.03;9,87272727272727E-13;
1967.04;9,87272727272727E-13;
1967.05;9,87272727272727E-13;
1967.06;9,87272727272727E-13;
1967.07;9,87272727272727E-13;
1967.08;9,87272727272727E-13;
1967.09;9,87272727272727E-13;
1967.10;9,87272727272727E-13;
1967.11;9,87272727272727E-13;
1967.12;9,87272727272727E-13;
1968.01;1,17090909090909E-12;
